user_id,age,gender,married,has_children,age_group,generation,traveller_type,home_country,home_city,home_airport,sign_up_date,total_sessions,avg_page_clicks,total_page_clicks,avg_session_duration_mins,last_session_date,months_active,total_bookings,booking_conversion_rate,days_since_last_session,churn_status,churn_risk_score,unique_trips,cancelled_trips,flights_booked,hotels_booked,avg_seats,avg_trip_duration_days,avg_base_fare_per_seat,avg_checked_bags,avg_rooms_booked,avg_nights_booked,avg_hotel_spend,trip_frequency_per_month,flight_discount_conversion_rate,hotel_discount_conversion_rate,total_flight_spend,total_hotel_spend,total_discount_received,avg_flight_dollars_saved,avg_hotel_dollars_saved,avg_combined_dollars_saved,final_segment,total_spend,priority_score,assigned_perk
600395,53.0,F,True,False,46–60,Gen X,Couple,usa,houston,HOU,2023-02-17,8,17.25,138,2.1395833333333334,2023-07-02 22:04:00,4.0,4,0.5,26.0,Low,0.1,4,0,3,4,1.3333333333333333,3.6666666666666665,318.915,0.6666666666666666,1.25,2.75,396.25,1.0,,1.0,1116.84,1585.0,0.1,,8.7,8.7,Couple Explorer,2701.84,270.18,Free Room Upgrade on Long Stay
569883,50.0,F,True,False,46–60,Gen X,Couple,usa,nashville,BNA,2023-02-03,9,20.333333333333332,183,2.524074074074074,2023-05-19 13:30:00,3.0,4,0.4444444444444444,70.0,Medium,0.5,4,0,3,4,1.3333333333333333,4.0,223.35166666666666,0.3333333333333333,1.25,3.5,944.75,1.3333333333333333,,0.5,864.71,3779.0,0.25,,100.5,100.5,Couple Explorer,4643.71,2321.86,Free Room Upgrade on Long Stay
514810,32.0,M,False,True,26–35,Millennial,Family,usa,nashville,BNA,2023-01-07,8,28.625,229,3.558333333333333,2023-05-01 21:05:00,3.0,3,0.375,88.0,Medium,0.5,3,0,1,3,1.0,4.0,66.68,0.0,1.3333333333333333,7.0,1480.0,1.0,0.2,1.0,66.68,4440.0,0.9,3.334,19.5,22.834,Solo Parent Traveller,4506.68,2253.34,10% off Next Hotel Booking
576879,37.0,F,True,True,36–45,Millennial,Family,usa,baton rouge,BTR,2023-02-06,8,9.25,74,1.1375,2023-07-18 03:58:00,5.0,1,0.125,10.0,Low,0.1,1,0,1,1,1.0,2.0,338.3,1.0,1.0,1.0,155.0,0.2,,,338.3,155.0,0.0,,,0.0,Family Traveller,493.3,49.33,Free night with Flight Booking
572908,50.0,F,True,True,46–60,Gen X,Family,usa,new york,JFK,2023-02-04,8,24.125,193,2.975,2023-07-18 10:43:00,5.0,5,0.625,10.0,Low,0.1,5,0,5,4,1.0,4.0,492.532,0.8,1.0,3.5,711.0,1.0,,,2462.66,2844.0,0.0,,,0.0,Family Traveller,5306.66,530.67,Free night with Flight Booking
516211,40.0,M,True,False,36–45,Millennial,Couple,usa,philadelphia,PHL,2023-01-07,8,21.0,168,9.553445533333333,2023-07-26 20:46:58,6.0,5,0.625,2.0,Low,0.1,4,1,4,2,1.25,9.6,1355.484,0.25,1.0,5.5,718.0,0.6666666666666666,0.5,1.0,6777.42,1436.0,0.1,,,0.0,Couple Explorer,8213.42,821.34,Free Room Upgrade on Long Stay
542706,17.0,F,False,False,Under 18,Gen Z,Solo Traveller,canada,calgary,YYC,2023-01-20,8,13.25,106,1.6479166666666667,2023-05-29 13:27:00,4.0,1,0.125,60.0,Medium,0.5,1,0,0,1,,,,,1.0,10.0,930.0,0.25,,,,930.0,0.0,,,0.0,Independent Explorer,930.0,465.0,Late Hotel Check Out
515764,23.0,F,False,True,18–25,Gen Z,Family,canada,edmonton,YED,2023-01-07,8,11.75,94,1.45625,2023-05-22 14:47:00,4.0,3,0.375,67.0,Medium,0.5,3,0,1,3,1.0,4.0,364.7,2.0,1.0,10.0,3136.0,0.75,,,364.7,9408.0,0.0,,,0.0,Solo Parent Traveller,9772.7,4886.35,10% off Next Hotel Booking
601158,29.0,F,False,False,26–35,Millennial,Solo Traveller,usa,new york,LGA,2023-02-17,8,19.125,153,2.38125,2023-07-04 13:47:00,4.0,2,0.25,24.0,Low,0.1,2,0,2,1,1.0,3.5,658.45,0.5,1.0,4.0,804.0,0.5,1.0,0.0,1316.9,804.0,0.35,33.35,,33.35,Luxury Solo Traveller,2120.9,212.09,Lounge Access on Next Trip
596329,20.0,F,False,False,18–25,Gen Z,Solo Traveller,usa,phoenix,PHX,2023-02-15,9,6.888888888888889,62,0.8685185185185185,2023-07-12 14:56:00,4.0,0,0.0,16.0,Low,0.1,0,0,0,0,,,,,,,,0.0,0.0,0.0,,,0.65,,,0.0,Unconverted User,0.0,0.0,15 % off Next Booking
634824,37.0,F,True,False,36–45,Millennial,Couple,usa,new york,LGA,2023-03-04,8,15.125,121,1.8520833333333333,2023-06-22 15:16:00,3.0,2,0.25,36.0,Low,0.1,2,0,2,2,1.0,3.0,117.58,0.5,1.0,1.5,134.5,0.6666666666666666,0.0,0.0,235.16,269.0,0.8,,,0.0,Couple Explorer,504.16,50.42,Free Room Upgrade on Long Stay
630694,39.0,F,False,False,36–45,Millennial,Solo Traveller,usa,charlotte,CLT,2023-03-02,8,10.625,85,1.3229166666666667,2023-05-25 05:48:00,2.0,2,0.25,64.0,Medium,0.5,2,0,2,2,1.5,2.0,392.395,0.5,1.5,1.5,332.0,1.0,0.0,0.5,906.85,664.0,0.3,,2.2,2.2,Business Solo,1570.85,785.43,Upgrade to Business Class on next flight
573291,56.0,F,True,False,46–60,Gen X,Couple,canada,winnipeg,YWG,2023-02-04,8,19.875,159,2.475,2023-06-09 19:33:00,4.0,5,0.625,49.0,Low,0.1,5,0,5,4,1.0,4.0,317.42,0.2,1.0,3.25,338.75,1.25,0.6666666666666666,0.0,1587.1,1355.0,1.05,65.3385,,65.3385,Couple Explorer,2942.1,294.21,Free Room Upgrade on Long Stay
570021,37.0,F,False,True,36–45,Millennial,Family,usa,tucson,DMA,2023-02-03,8,18.0,144,2.2416666666666667,2023-07-12 03:02:00,5.0,3,0.375,16.0,Low,0.1,3,0,3,3,1.3333333333333333,3.6666666666666665,391.50333333333333,1.0,1.3333333333333333,2.6666666666666665,446.3333333333333,0.6,,0.0,1745.57,1339.0,0.1,,,0.0,Solo Parent Traveller,3084.57,308.46,10% off Next Hotel Booking
520256,42.0,F,True,False,36–45,Millennial,Couple,usa,dallas,DAL,2023-01-09,8,16.75,134,2.06875,2023-06-05 17:36:00,4.0,4,0.5,53.0,Low,0.1,4,0,3,4,1.3333333333333333,4.333333333333333,162.00333333333333,0.0,1.25,5.25,535.0,1.0,0.0,1.0,558.01,2140.0,0.1,,4.25,4.25,Couple Explorer,2698.01,269.8,Free Room Upgrade on Long Stay
666174,41.0,M,True,False,36–45,Millennial,Couple,canada,toronto,YKZ,2023-03-16,8,46.375,371,17.645833333333332,2023-07-16 19:05:00,4.0,3,0.375,12.0,Low,0.1,2,1,2,1,1.0,3.0,451.76,0.5,1.0,3.0,906.0,0.5,1.0,1.0,952.01,906.0,0.0,,,0.0,Couple Explorer,1858.01,185.8,Free Room Upgrade on Long Stay
